  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  3.9800e-13           40.10592302            0.00000000       11960.39158355         -148.01906789        11812.37251566 
  4.0000e-13           40.10823089            0.00000000       11961.07983693         -149.39571336        11811.68412357 
  4.0200e-13           40.11059529            0.00000000       11961.78494920         -150.80612280        11810.97882640 
  4.0400e-13           40.11301238            0.00000000       11962.50577367         -152.24800308        11810.25777059 
  4.0600e-13           40.11547732            0.00000000       11963.24086931         -153.71847196        11809.52239735 
  4.0800e-13           40.11798431            0.00000000       11963.98850360         -155.21406385        11808.77443975 
  4.1000e-13           40.12052657            0.00000000       11964.74665761         -156.73074024        11808.01591737 
  4.1200e-13           40.12309640            0.00000000       11965.51303216         -158.26390222        11807.24912994 
  4.1400e-13           40.12568517            0.00000000       11966.28505357         -159.80840222        11806.47665135 
  4.1600e-13           40.12828333            0.00000000       11967.05987764         -161.35855214        11805.70132550 
  4.1800e-13           40.13088045            0.00000000       11967.83439040         -162.90812513        11804.92626528 
  4.2000e-13           40.13346516            0.00000000       11968.60520456         -164.45034855        11804.15485601 
  4.2200e-13           40.13602517            0.00000000       11969.36865049         -165.97788618        11803.39076431 
  4.2400e-13           40.13854717            0.00000000       11970.12076113         -167.48280805        11802.63795308 
  4.2600e-13           40.14101679            0.00000000       11970.85725034         -168.95654718        11801.90070316 
  4.2800e-13           40.14341848            0.00000000       11971.57348463         -170.38984306        11801.18364157 
  4.3000e-13           40.14573544            0.00000000       11972.26444863         -171.77267245        11800.49177617 
  4.3200e-13           40.14794943            0.00000000       11972.92470504         -173.09416922        11799.83053582 
  4.3400e-13           40.15004066            0.00000000       11973.54835059         -174.34253586        11799.20581473 
  4.3600e-13           40.15198761            0.00000000       11974.12896971         -175.50495066        11798.62401905 
  4.3800e-13           40.15376690            0.00000000       11974.65958905         -176.56747610        11798.09211295 
  4.4000e-13           40.15535313      9112652.45575537       11975.13263640         -177.51497608        11797.61766032 
  4.4200e-13           40.15671931            0.00000000       11975.54005784         -178.33134937        11797.20870847 
  4.4400e-13           40.15783526            0.00000000       11975.87285650         -178.99860590        11796.87425060 
  4.4600e-13           40.15866918            0.00000000       11976.12154717         -179.49777457        11796.62377260 
  4.4800e-13           40.15918727            0.00000000       11976.27605215         -179.80869310        11796.46735906 
  4.5000e-13           40.15935406            0.00000000       11976.32579390         -179.91019104        11796.41560286 
  4.5200e-13           40.15913294            0.00000000       11976.25985182         -179.78040076        11796.47945105 
  4.5400e-13           40.15848694            0.00000000       11976.06720163         -179.39723319        11796.66996844 
  4.5600e-13           40.15737989            0.00000000       11975.73705748         -178.73905886        11796.99799862 
  4.5800e-13           40.15577799            0.00000000       11975.25933748         -177.78563612        11797.47370136 
  4.6000e-13           40.15365182            0.00000000       11974.62527104         -176.51932361        11798.10594743 
  4.6200e-13           40.15097893            0.00000000       11973.82816000         -174.92660191        11798.90155809 
  4.6400e-13           40.14774686            0.00000000       11972.86429278         -172.99990399        11799.86438878 
  4.6600e-13           40.14395670      8584486.07092300       11971.73399043         -170.73971351        11800.99427693 
  4.6800e-13           40.13962709            0.00000000       11970.44281495         -168.15699281        11802.28582214 
  4.7000e-13           40.13479720            0.00000000       11969.00244399         -165.27495021        11803.72749377 
  4.7200e-13           40.12953078            0.00000000       11967.43189185         -162.13150584        11805.30038601 
  4.7400e-13           40.12391813            0.00000000       11965.75808873         -158.78047825        11806.97761048 
  4.7600e-13           40.11807659            0.00000000       11964.01602379         -155.29189882        11808.72412497 
  4.7800e-13           40.11214859            0.00000000       11962.24817398         -151.75089126        11810.49728272 
  4.8000e-13           40.10629687            0.00000000       11960.50307403         -148.25481897        11812.24825506 
  4.8200e-13           40.10069670            0.00000000       11958.83299046         -144.90861874        11813.92437172 
  4.8400e-13           40.09552545            0.00000000       11957.29081882         -141.81855595        11815.47226288 
  4.8600e-13           40.09095057            0.00000000       11955.92650049         -139.08499705        11816.84150344 
  4.8800e-13           40.08711751            0.00000000       11954.78340495         -136.79510248        11817.98830246 
  4.9000e-13           40.08413914            0.00000000       11953.89519338         -135.01648836        11818.87870503 
  4.9200e-13           40.08208843            0.00000000       11953.28363152         -133.79280980        11819.49082172 
  4.9400e-13           40.08099535            0.00000000       11952.95765263         -133.14187928        11819.81577335 
  4.9600e-13           40.08084806            0.00000000       11952.91372902         -133.05643651        11819.85729251 
  4.9800e-13           40.08159796            0.00000000       11953.13736297         -133.50718218        11819.63018080 
  5.0000e-13           40.08316717            0.00000000       11953.60533166         -134.44732762        11819.15800403 
  5.0200e-13           40.08545717            0.00000000       11954.28825835         -135.81778871        11818.47046965 
  5.0400e-13           40.08835730            0.00000000       11955.15313424         -137.55226216        11817.60087208 
  5.0600e-13           40.09175214            0.00000000       11956.16554235         -139.58168536        11816.58385699 
  5.0800e-13           40.09552766            0.00000000       11957.29148030         -141.83787778        11815.45360252 
  5.1000e-13           40.09957606            0.00000000       11958.49879209         -144.25639331        11814.24239878 
  5.1200e-13           40.10379939            0.00000000       11959.75827595         -146.77872551        11812.97955045 
  5.1400e-13           40.10811251            0.00000000       11961.04453563         -149.35400542        11811.69053021 
  5.1600e-13           40.11244513            0.00000000       11962.33660721         -151.94025742        11810.39634979 
  5.1800e-13           40.11674310            0.00000000       11963.61835038         -154.50518805        11809.11316233 
  5.2000e-13           40.12096889            0.00000000       11964.87856378         -157.02642355        11807.85214022 
  5.2200e-13           40.12510080            0.00000000       11966.11078249         -159.49110800        11806.61967449 
  5.2400e-13           40.12913124            0.00000000       11967.31274144         -161.89482669        11805.41791475 
  5.2600e-13           40.13306388            0.00000000       11968.48553241         -164.23990975        11804.24562266 
  5.2800e-13           40.13691003            0.00000000       11969.63253250         -166.53327272        11803.09925978 
  5.3000e-13           40.14068473            0.00000000       11970.75822312         -168.78403486        11801.97418827 
  5.3200e-13           40.14440285            0.00000000       11971.86704088         -171.00120173        11800.86583915 
  5.3400e-13           40.14807583            0.00000000       11972.96239812         -173.19169138        11799.77070674 
  5.3600e-13           40.15170933            0.00000000       11974.04598119         -175.35892308        11798.68705811 
  5.3800e-13           40.15530198            0.00000000       11975.11738217         -177.50208209        11797.61530008 
  5.4000e-13           40.15884525      7327935.00733373       11976.17405693         -179.61604572        11796.55801121 
  5.4200e-13           40.16229555            0.00000000       11977.20300596         -181.67507076        11795.52793520 
  5.4400e-13           40.16563005            0.00000000       11978.19741872         -183.66522850        11794.53219022 
  5.4600e-13           40.16881720            0.00000000       11979.14789263         -185.56768108        11793.58021155 
  5.4800e-13           40.17182125            0.00000000       11980.04375887         -187.36108077        11792.68267810 
  5.5000e-13           40.17460251            0.00000000       11980.87318840         -189.02178070        11791.85140770 
  5.5200e-13           40.17711735            0.00000000       11981.62316340         -190.52376793        11791.09939546 
  5.5400e-13           40.17931780            0.00000000       11982.27938185         -191.83845758        11790.44092428 
  5.5600e-13           40.18115140            0.00000000       11982.82619915         -192.93456054        11789.89163861 
  5.5800e-13           40.18256148            0.00000000       11983.24671226         -193.77824110        11789.46847117 
  5.6000e-13           40.18348814            0.00000000       11983.52306119         -194.33371643        11789.18934476 
  5.6200e-13           40.18387010            0.00000000       11983.63696901         -194.56434161        11789.07262740 
  5.6400e-13           40.18364717            0.00000000       11983.57048599         -194.43410839        11789.13637760 
